time,F(t),kF,P680 / Qa / PhD1 / ac / ChlD1,P680 / Qa / PhD1 / ac / ChlD1*,P680 / Qa / PhD1 / ac* / ChlD1,P680 / Qa / PhD1- / ac / ChlD1+,P680+ / Qa / PhD1- / ac / ChlD1,P680+ / Qa- / PhD1 / ac / ChlD1,Thylakoid
1e-13,6.7e+07,6.7e+07,0,0,1,0,0,0,1
1.17095e-13,6.69998e+07,6.7e+07,1.1488e-06,0.000326718,0.999671,1.3832e-06,3.7755e-09,2.08545e-13,1
1.37113e-13,6.69994e+07,6.7e+07,2.49398e-06,0.000705482,0.999286,6.47899e-06,2.55049e-08,1.7872e-12,1
1.60553e-13,6.69986e+07,6.7e+07,4.06912e-06,0.00114387,0.998835,1.70989e-05,9.64065e-08,8.93759e-12,1
1.88e-13,6.69972e+07,6.7e+07,5.91349e-06,0.00165031,0.998308,3.57459e-05,2.73961e-07,3.28902e-11,1
2.20139e-13,6.6995e+07,6.7e+07,8.07311e-06,0.00223415,0.997691,6.57753e-05,6.72825e-07,1.0412e-10,1
2.57772e-13,6.69917e+07,6.7e+07,1.06018e-05,0.00290563,0.996971,0.000111684,1.49459e-06,2.94951e-10,1
3.01839e-13,6.69869e+07,6.7e+07,1.35626e-05,0.00367579,0.996128,0.000179462,3.07648e-06,7.68917e-10,1
3.53439e-13,6.69799e+07,6.7e+07,1.70293e-05,0.00455646,0.995144,0.000276958,5.98218e-06,1.86995e-09,1
4.1386e-13,6.69701e+07,6.7e+07,2.10881e-05,0.00556007,0.993993,0.000414317,1.11341e-05,4.30955e-09,1
4.84611e-13,6.69564e+07,6.7e+07,2.584e-05,0.0066995,0.99265,0.000604462,2.00184e-05,9.51453e-09,1
5.67456e-13,6.69377e+07,6.7e+07,3.14028e-05,0.00798786,0.991082,0.000863548,3.49976e-05,2.02645e-08,1
6.64464e-13,6.69123e+07,6.7e+07,3.79145e-05,0.0094382,0.989253,0.00121147,5.97495e-05,4.19708e-08,1
7.78056e-13,6.68782e+07,6.7e+07,4.5536e-05,0.0110633,0.987119,0.00167216,9.99295e-05,8.48911e-08,1
9.11067e-13,6.6833e+07,6.7e+07,5.44551e-05,0.0128754,0.984632,0.00227355,0.000164119,1.68106e-07,1
1.06682e-12,6.67737e+07,6.7e+07,6.48908e-05,0.0148863,0.981736,0.00304734,0.00026512,3.2665e-07,1
1.24919e-12,6.66967e+07,6.7e+07,7.70981e-05,0.0171072,0.978365,0.00402813,0.000421703,6.23952e-07,1
1.46274e-12,6.65976e+07,6.7e+07,9.13734e-05,0.0195489,0.974446,0.00525197,0.0006609,1.17311e-06,1
1.7128e-12,6.64717e+07,6.7e+07,0.000108061,0.0222221,0.969892,0.00675424,0.00102091,2.1727e-06,1
2.00561e-12,6.6313e+07,6.7e+07,0.000127559,0.0251376,0.964609,0.00856712,0.00155459,3.96628e-06,1
2.34848e-12,6.61151e+07,6.7e+07,0.00015033,0.028306,0.958486,0.0107167,0.00233348,7.13857e-06,1
